domain	crop	chosen_width	score_8192	score_10240	score_12288	score_14336	score_16384
math	39	12288	2.078482	1.728767	0.250405	1.282893	3.016462
math	40	12288	2.818944	2.407498	0.286643	1.57314	3.424608
math	41	12288	5.328846	3.653042	0.770099	1.95267	2.823078
math	42	12288	1.460952	1.420007	0.259881	1.354968	3.169198
math	43	12288	5.51887	3.824768	0.796794	2.0722	3.103193
math	44	12288	6.773315	4.28714	0.922107	1.774951	4.697772
math	45	12288	5.968307	4.230494	0.683148	2.253047	3.980587
math	46	12288	5.200179	3.730196	0.658697	2.450037	4.258774
math	47	12288	2.072712	1.817551	0.224339	1.319835	2.7322
math	48	12288	2.205896	1.809198	0.227331	1.580074	3.576123
math	49	12288	11.814821	1.466156	0.333927	0.626823	0.99454
math	50	12288	2.667073	2.288813	0.294174	1.907622	3.432935
math	51	12288	1.602904	1.259206	0.144484	1.283792	2.923948
math	52	12288	2.004396	1.70132	0.236632	1.591418	3.076094
math	53	12288	1.487082	1.253157	0.163239	1.215906	2.952486
math	54	12288	2.884123	2.317995	0.421141	1.912399	3.89448
math	55	12288	1.953777	1.486979	0.225375	1.296996	3.043785
math	56	12288	2.056276	1.656934	0.331415	1.168926	2.897629
math	57	12288	2.310727	1.863036	0.227345	1.693471	3.475319
math	58	12288	10.835882	1.646839	0.318102	0.814045	1.295669
math	59	12288	1.778466	1.772457	0.272853	1.417346	3.300139
math	60	12288	1.827122	1.610769	0.247182	1.525561	3.50111
math	61	12288	3.344986	2.465424	0.671495	1.74633	3.438835
math	62	12288	4.079732	3.116363	0.516575	1.962446	3.48981
math	63	12288	5.909366	4.280637	0.871145	2.748415	4.544573
math	64	12288	5.783958	3.678173	0.828596	2.189514	3.264614
math	65	12288	2.24495	1.77417	0.321106	1.509333	3.141832
math	66	12288	2.704367	2.368285	0.394091	1.947328	3.791537
math	67	12288	1.592661	1.373167	0.241683	1.353608	2.889767
math	68	12288	6.194131	4.395731	1.047506	3.279232	5.346129
math	69	12288	5.650455	3.616562	0.834826	1.908561	3.105059
math	70	12288	3.134982	2.621684	0.673862	2.015098	4.07829
math	71	12288	2.474151	2.104984	0.281967	1.183637	3.078613
math	72	12288	1.430452	1.292946	0.132495	1.152371	2.706924
math	73	12288	5.620672	3.938771	1.179102	2.80995	4.798153
math	74	12288	4.803671	3.556903	0.942891	2.650531	4.521886
math	75	12288	5.385285	3.897329	0.922599	2.441084	4.475487
math	76	12288	1.640905	1.46086	0.174761	1.401569	3.064329
math	77	12288	5.752248	4.261387	0.901607	1.966103	3.302759
math	78	12288	1.66052	1.562742	0.198368	1.314727	3.35312
math	79	12288	2.706132	2.142383	0.341058	1.840191	3.608918
math	80	12288	5.795091	2.84998	0.693977	2.777665	3.800794
math	81	12288	6.206337	2.630127	0.625228	2.348922	3.464515
